;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Kings Deadlift;3;8 p S;4;7 p S;5;9 p S;5,5;;;;6-10 p S;;;;;;;;;;;4110;75;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Sternum Latzug breit MAG;3;8;110/2;8;110/2+2,5;;120/2;;;;6-8;;;;;;;;;;;4011;75;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Leg Curl Superman Zehen ausgestreckt;3;8;30/4+2,5;8;30/4+2,5;8;40/4+2,5;;;;4-8;;;;;;;;;;;;60;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;KH Aussenrotation seitl liegend;3;6;2,5;7;2,5;6;2,5;;;;6-10;;;;;;;;;;;;60;;;;;;;;;
C;Push Ups erhöht AMRAP;2;12;KG;8;KG;<- bessere Form;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
24/9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Kings Deadlift;3;8;5;8;6;8;7;;;;6-10 p S;;;;;;;;;;;4/0/1/0;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Sternum Latzug breit MAG;3;10;110/2+2,5;10;120/2+2,5;;130/2+2,5;;;;8-10;;;;;;;;;;;H/0/0/H;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Leg Curl Superman Zehen ausgestreckt;3;8;30/4+2,5;8;30/4+2,5;8;40/4+2,5;;;;4-8;;;;;;;;;;;4/0/1/0;75;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
X;KH Aussenrotation seitl liegend;3;6;2,5;7;2,5;6;2,5;;;;6-10;;;;;;;;;;;;;;;;;;;;;
B2;Push Ups erhöht AMRAP;2;10;KG;8;KG;<- bessere Form;;;;;;;;;;;;;;;;3/0/1/2;75;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;3/1/1/0;120;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
27/9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Kings Deadlift;3;8;6;8;7;8;8;;;;6-10 p S;;;;;;;;;;;4/0/1/0;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Sternum Latzug breit MAG;3;10;120/2+2,5;10;130/2+2,5;;140/2+2,25;;;;8-10;;;;;;;;;;;H/0/0/H;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Leg Curl Superman Zehen ausgestreckt;3;8;30/4+2,5;8;40/4+2,5;10;80/4+2,5;;;;4-8;;;;;;;;;;;4/0/1/0;75;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
X;KH Aussenrotation seitl liegend;3;6;2,5;7;2,5;6;2,5;;;;6-10;;;;;;;;;;;;;;;;;;;;;
B2;Push Ups erhöht AMRAP;2;10;KG;10;KG;10;KG;;;;;;;;;;;;;;;3/0/1/2;75;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
