;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lh Kniebeugen Fersen erhöht;4;8;50;7;57,5;7;65;6;70;;5-7;;;;;;;;;;;4110;75;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Klimmzug neutral;4;2;KG;2;KG;2;KG;2+1nikk;KG;;1-3;;;;;;;;;;;4011;75;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Sitzend Nackendrücken;3;8;20;7;22,5;12;25;;;;6-8;;;;;;;;;;;;60;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Sitzend Rudern MAG mittel;3;12;120/2;12;130/2;12;140/2;;;;6-10;;;;;;;;;;;;60;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
4/10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lh Kniebeugen Fersen erhöht;2;5;40;5;50;;;;;;5-7;;;;;;;;;;;4110;75;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Klimmzug neutral;2;1;KG;1;KG;;;;;;1-3;;;;;;;;;;;4011;75;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Sitzend Nackendrücken;2;6;22,5;6;27,5;;;;;;6-8;;;;;;;;;;;;60;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Sitzend Rudern MAG mittel;2;10;140/2;;150/2;;;;;;6-10;;;;;;;;;;;;60;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;3/1/1/0;120;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
Deload, weil fühlt sich kränklich,;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/10;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lh Kniebeugen Fersen erhöht;4;5;70;5;70;5;70;5;70;5;70;;5;;;;;;;;;4/0/1/0;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Klimmzug neutral;4;2;KG;2;KG;1,9;KG;2;KG;;1-3;;2;;;;;;;;;H/0/0/H;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Stehend Nackendrücken;3;8;20;7;22,5;12;25;;;;6-8;;;;;;;;;;;4/0/1/0;75;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Rudern m Seil z Bauch;3;12;120/2;12;130/2;12;140/2;;;;6-10;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;100 %;65,0;65,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;69 %;4,5;6,5;8;;;1;;0;;;Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Powell Raise;0 %;;5,2;8;;;2;;0;;;Lh Bankdrücken;;;;;36;;;;;;;;;;;;;;;
