;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lh Kniebeugen Fersen erhöht;5;5;80;5;80;5;80;5;80;5;80;;5;;;;;;;;;4010;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Klimmzug supiniert;5;2;Kg;2;KG;2;Kg;2;KG;2;KG;;;;;;;;;;;;;;;;;;;;;
B1;Stehend Trizeps Extension Seil ;2;20;60/4;20;70/4;;;;;;;;;;;;;;;;;;;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Stehend Reverse SZ Curl FAT GRIPZ;3;8;17;0;19;;;;;;;;;;;;;;;;;;60;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/11;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lh Kniebeugen Fersen erhöht;5;5;82;5;82;5;82;5;82;5;82;;5;;;;;;;;;4010;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Klimmzug supiniert;5;2;Kg;2;KG;2;Kg;2;KG;2;KG;;;;;;;;;;;5015;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Stehend Trizeps Extension Seil ;2;15;80/4;;;;;;;;;;;;;;;;;;;;;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Stehend Reverse SZ Curl FAT GRIPZ;3;8;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/11;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lh Kniebeugen Fersen erhöht;5;5;83;5;83;5;83;5;83;5;83;;5;;;;;;;;;4010;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Klimmzug supiniert;5;1,7;+1,25;1,5;+1,25;1,5;Kg;1,5;Kg;1,4;Kg;;;;;;;;;;;5015;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Stehend Trizeps Extension SZ Stange lower OPulley ;2;20;80/4;20;80/4;;;;;;;;;;;;;;;;;;;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Stehend Reverse SZ Curl FAT GRIPZ;2;9;17;7;17;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;100 %;65,0;65,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;69 %;4,5;6,5;8;;;1;;0;;;Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Powell Raise;0 %;;5,2;8;;;2;;0;;;Lh Bankdrücken;;;;;36;;;;;;;;;;;;;;;
;Klimmzug;0 %;;56,6;1;;;3;;0;;;LH Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
