;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A;30° KH drücken neutral;3;6;21;;;;;;;;;;;;;;;;;;;4110;75;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
;;;;;;;;;;;;;;;;;;;;;;;4011;75;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;60;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
10 Min Workout nur drücken mit 22,5 Kg und Sätze zählen;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/11;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A;Lh Kniebeugen Fersen erhöht;4;5;77,5;5;77,5;5;77,5;5;77,5;5;77,5;;5;;;;;;;;;4010;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
B1;Stehend Reverse SZ Curl;3;8;17;12;19;;;;;;;;;;;;;;;;;5015;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B2;SZ French PRess;3;12;17;20;19;;;;;;;;;;;;;;;;;;;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
Kalium Magnesium + Multi mitgenommen;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
19/11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A;Lh Kniebeugen Fersen erhöht;4;5;77,5;5;77,5;5;77,5;5;77,5;5;77,5;;5;;;;;;;;;4/0/1/0;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
B1;Stehend Reverse SZ Curl;3;8;17;12;19;;;;;;;;;;;;;;;;;H/0/0/H;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B2;SZ French PRess;3;12;17;20;19;;;;;;;;;;;;;;;;;4/0/1/0;75;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;100 %;65,0;65,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;69 %;4,5;6,5;8;;;1;;0;;;Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Powell Raise;0 %;;5,2;8;;;2;;0;;;Lh Bankdrücken;;;;;36;;;;;;;;;;;;;;;
;Klimmzug;0 %;;56,6;1;;;3;;0;;;LH Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Push Press;0 %;;55,3;1;;;4;;0;;;LH Nackendrücken;;;;;34;;;;;;;;;;;;;;;
;sitzend Nackendrücken schulterbreit;82 %;35,0;42,9;1;;;5;;0;;;Aussenrotation;;;;;Rechts;;;;;;;;;;;;;;;
