;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Langhantel Kniebeuge Fersen Erhöht;3;6;52,5;5;60;4;66;<- Breiter Stand ausgewichen..;;;4-6;;;;;;;;;;;4/0/1/0;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;15° KH Schrägbank drücken neutral;3;6;19;5;21,5;3;23,5;;;;4-6;;;;;;;;;;;H/0/0/H;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Rudern m. Seil z. Hals neutral;3;8;120/4;7;130/4;;140/4;;;;6-8;;;;;;;;;;;4/0/1/0;75;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Reverse SZ Curl FAT Gripz ;3;8;12;10;14,5;6-8;;;;;6-8;;;;;;;;;;;3/0/1/2;75;;;;;;;;;
C;Dead Hang;2;;KG;;KG;;;;;;;;;;;;;;;;;3/1/1/0;120;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
3/5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Unilateral = Einarmig;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;Bilateral = Beidarmig;;;;;;
A1;Langhantel Kniebeuge Fersen Erhöht;3;6;54;5;61;6;67,5;;;;4-6;;;;;;;;;;;4/0/1/0;90;;;;;;;;;
A2;15° KH Schrägbank drücken neutral;3;6;19;5;21,5;5;23,5;;;;4-6;;;;;;;;;;;H/0/0/H;90;;;Reihenfolge:;;;;;;
B1;Rudern m. Seil z. Hals neutral;3;8;120/4;7;140/4;8;150/4;;;;6-8;;;;;;;;;;;4/0/1/0;75;;;Die Buchstaben zeigen dir an, in welcher Reihenfolge trainiert wird. ;;;;;;
B2;Exzentri Klimmzug Neutral;3;63s;Hang;22s;KG;25s;KG;;;;6-8;;;;;;;;;;;3/0/1/2;75;;;Hat ein Buchstabe 1 & 2, so werden die Übungen im Supersatz ausgeführt.;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Proniert = Obergriff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Supiniert = Untergriff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;;;0,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;;;0,0;8;;;1;;0;;;;;;;;;;;;;;;;;;;;;;;
;Powell Raise;;;0,0;8;;;2;;0;;;;;;;;;;;;;;;;;;;;;;;
;Klimmzug;;;0,0;1;;;3;;0;;;;;;;;;;;;;;;;;;;;;;;
;Push Press;;;0,0;1;;;4;24;27,2417707150965;;;;;;;;;;;;;;;;;;;;;;;
;sitzend Nackendrücken schulterbreit;;;0,0;1;;;5;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Military Press;;;0,0;1;;;6;22,5;27,0758122743682;;;;;;;;;;;;;;;;;;;;;;;
;unilateral unsupported Trap 3 Raise;;;0,0;8;;;7;;0;;;;;;;;;;;;;;;;;;;;;;;
;Dip;;;0,0;1;;;8;;0;;;;;;;;;;;;;;;;;;;;;;;
;45° LH Bench Press;;;0,0;1;;;9;;0;;;;;;;;;;;;;;;;;;;;;;;
;KH Schulter drücken;;;0,0;8;;;10;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Preacher LH Curl;;;0,0;1;;;11;;0;;;;;;;;;;;;;;;;;;;;;;;
;stehend breit proniert SZ Curl;;;0,0;1;;;12;;0;;;;;;;;;;;;;;;;;;;;;;;
;Liegend SZ French Press ;;;0,0;1;;;13;;0;;;;;;;;;;;;;;;;;;;;;;;
;Squat;100 %;75,0;75,0;1;;;14;;0;;;;;;;;;;;;;;;;;;;;;;;
;FrontSquat;0 %;;63,8;1;;;15;;0;;;;;;;;;;;;;;;;;;;;;;;
