;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Langhantel Kniebeuge Fersen Erhöht;3;6;57,5;5;65;6;72,5;;;;4-6;;;;;;;;;;;4/0/1/0;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;15° KH Schrägbank drücken neutral;3;6;19,5;5;22;5;24,5;;;;4-6;;;;;;;;;;;H/0/0/H;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;Rudern m. Seil z. Hals neutral;3;8;70/2;7;80/2;;;;;;6-8;;;;;;;;;;;4/0/1/0;75;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Exzentri Klimmzug Neutral;3;17s;KG;26s;KG;;;;;;6-8;;;;;;;;;;;3/0/1/2;75;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;3/1/1/0;120;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
Plan beim nächsten Mal anpassen;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/5;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Unilateral = Einarmig;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;Bilateral = Beidarmig;;;;;;
A1;Quad Squat;3;6;50;5;60;5;70;;;;4-6;;;;;;;;;;;4/0/1/0;90;;;;;;;;;
A2;Exzentri Klimmzug Supiniert;3;25s;KG;20s;+2,5;23s;+4;;;;4-6;;;;;;;;;;;H/0/0/H;90;;;Reihenfolge:;;;;;;
B1;LH Bankdrücken schulterbreiter Griff;3;8;40;7;45;6-8;50;;;;6-8;;;;;;;;;;;4/0/1/0;75;;;Die Buchstaben zeigen dir an, in welcher Reihenfolge trainiert wird. ;;;;;;
B2;BattleRopes;3;25s;Klein;25s;Groß;25s;;;;;6-8;;;;;;;;;;;3/0/1/2;75;;;Hat ein Buchstabe 1 & 2, so werden die Übungen im Supersatz ausgeführt.;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Proniert = Obergriff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Supiniert = Untergriff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;100 %;63,0;63,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;0 %;;6,3;8;;;1;;0;;;Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Powell Raise;0 %;;5,0;8;;;2;;0;;;Lh Bankdrücken;;;;;36;;;;;;;;;;;;;;;
;Klimmzug;0 %;;54,8;1;;;3;;0;;;;;;;;;;;;;;;;;;;;;;;
;Push Press;0 %;;53,6;1;;;4;;0;;;;;;;;;;;;;;;;;;;;;;;
;sitzend Nackendrücken schulterbreit;0 %;;41,6;1;;;5;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Military Press;0 %;;45,4;1;;;6;;0;;;;;;;;;;;;;;;;;;;;;;;
;unilateral unsupported Trap 3 Raise;0 %;;6,4;8;;;7;;0;;;;;;;;;;;;;;;;;;;;;;;
;Dip;0 %;;73,7;1;;;8;;0;;;;;;;;;;;;;;;;;;;;;;;
;45° LH Bench Press;0 %;;57,3;1;;;9;;0;;;;;;;;;;;;;;;;;;;;;;;
;KH Schulter drücken;0 %;;18,3;8;;;10;;0;;;;;;;;;;;;;;;;;;;;;;;
;Schulterbreiter Preacher LH Curl;0 %;;29,0;1;;;11;;0;;;;;;;;;;;;;;;;;;;;;;;
;stehend breit proniert SZ Curl;0 %;;22,1;1;;;12;;0;;;;;;;;;;;;;;;;;;;;;;;
;Liegend SZ French Press ;0 %;;25,2;1;;;13;;0;;;;;;;;;;;;;;;;;;;;;;;
;Squat;100 %;87,0;87,0;1;;;14;;0;;;;;;;;;;;;;;;;;;;;;;;
;FrontSquat;0 %;;74,0;1;;;15;;0;;;;;;;;;;;;;;;;;;;;;;;
