;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lh Kniebeugen Fersen erhöht;5;5;80;5;80;5;80;5;80;5;80;;5;;;;;;;;;4010;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Klimmzug supiniert;5;2;Kg;2;KG;2;Kg;2;KG;2;KG;;;;;;;;;;;;;;;;;;;;;
B1;Stehend Trizeps Extension Seil ;2;20;60/4;20;70/4;;;;;;;;;;;;;;;;;;;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Stehend Reverse SZ Curl FAT GRIPZ;3;8;17;0;19;;;;;;;;;;;;;;;;;;60;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/12;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;Lh Kniebeugen Fersen erhöht;3;8;50;7;60;10;70;;;;;;;;;;;;;;;4010;90;;;2. Exzentrische Position (Gewicht an der untersten Position);;;;;;
A2;Latzug Breit;3;10;190/+7,5;9;190/2+12,5;10;190/+17,5;;;;;;;;;;;;;;;5015;90;;;3. Konzentrische Bewegung (Gewicht vom Boden wegbewegen);;;;;;
B1;75° Bizep CUrl KH supiniert;3;8;10;10;10;;;;;;;;;;;;;;;;;;;;;4. Konzentrische Position (Gewicht an der obersten Position);;;;;;
B2;Trizep OVerhead Extension Low Pulley SZ-Stange;3;20;60/4;20;60/4;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Zum Beispiel: Tempo 3/1/1/0 für Squats;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Satz;Wiederholungen / Gewicht;;;;;;;;;;;;;;;;;;;;Tempo;Pause;Notizen;;Tempo-Erklärung:;;;;;;
;;;1. Satz;;2. Satz;;3. Satz;;4. Satz;;5. Satz;;6. Satz;;7. Satz;;8. Satz;;9. Satz;;10. Satz;;;;;;1. Exzentrische Bewegung (Gewicht ablassen);;;;;;
A1;LH Kniebeugen Fersen erhöht;4;8;60;7;67,5;7;75;7;80;;;;;;;;;;;;;;;;;;;;;;;
A2;Lying Leg Curl Zehen angezogen neutral;4;8;100/4+2,5;7;110/4+2,5+2,5;;120/4+2,5;;140/4+2,5;;;;;;;;;;;;;;;;;;;;;;;
B1;LH Bankdrücken;2;8;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B2;Seilzug Butterfly Aufrecht (höhe 12);2;12;30/4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;3 sec. Runter gehen / 1 sec. Unten halten /1 sec. Hoch gehen / 0 sec. Oben halten;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Neutral = Neutraler Griff;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Übung;Ist-Kraft in %;Ist-Kraft;Soll-Kraft;Reps;;;Umr.;;;;;Squats;;;;;46/19;;;;;;;;;Steigere dich in jeder Übung auf EINEN schwersten Satz;;;;;;
;LH Bankdrücken Schulterbreiter Griff;100 %;67,0;67,0;1;;;Wdh.;Ist-Kg;Erw. 1RM;;;Split Squats;;;;;Links;;;;;;;;;;;;;;;
;KH Aussenrotation;67 %;4,5;6,7;8;;;1;;0;;;Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Powell Raise;0 %;;5,4;8;;;2;;0;;;Lh Bankdrücken;;;;;36;;;;;;;;;;;;;;;
;Klimmzug;0 %;;58,3;1;;;3;;0;;;LH Quad Squat;;;;;46/21;;;;;;;;;;;;;;;
;Push Press;0 %;;57,0;1;;;4;;0;;;LH Nackendrücken;;;;;34;;;;;;;;;;;;;;;
